voltage,current,power,energy,frequency,pf,label
226.3,0.193,22.1,4064,50,0.51,LaptopFaiq
226.3,0.193,22.1,4064,50,0.51,LaptopFaiq
226.3,0.193,22.1,4064,50,0.51,LaptopFaiq
226.3,0.193,22.1,4064,50,0.51,LaptopFaiq
226.3,0.193,22.1,4064,50,0.51,LaptopFaiq
226.3,0.193,22.1,4064,49.9,0.51,LaptopFaiq
226.3,0.203,23.2,4064,50,0.51,LaptopFaiq
226.3,0.203,23.2,4064,50,0.51,LaptopFaiq
226.3,0.203,23.2,4064,50,0.51,LaptopFaiq
226.3,0.203,23.2,4064,50,0.51,LaptopFaiq
226.3,0.203,23.2,4064,50,0.51,LaptopFaiq
226.3,0.203,23.2,4064,50,0.51,LaptopFaiq
226.3,0.203,23.2,4064,50,0.51,LaptopFaiq
226.3,0.203,23.2,4064,50,0.51,LaptopFaiq
226.3,0.203,23.2,4064,50,0.51,LaptopFaiq
226.3,0.203,23.2,4064,49.9,0.51,LaptopFaiq
226.2,0.353,43.7,4064,49.9,0.55,LaptopFaiq
226.2,0.353,43.7,4064,49.9,0.55,LaptopFaiq
226.2,0.353,43.7,4064,50,0.55,LaptopFaiq
226.2,0.353,43.7,4064,50,0.55,LaptopFaiq
226.2,0.353,43.7,4064,50,0.55,LaptopFaiq
226.2,0.353,43.7,4064,50,0.55,LaptopFaiq
226.2,0.353,43.7,4064,50,0.55,LaptopFaiq
226.2,0.353,43.7,4064,50,0.55,LaptopFaiq
226.2,0.353,43.7,4064,49.9,0.55,LaptopFaiq
226.2,0.353,43.7,4064,49.9,0.55,LaptopFaiq
226,0.456,60.4,4064,49.9,0.59,LaptopFaiq
226,0.456,60.4,4064,49.9,0.59,LaptopFaiq
226,0.456,60.4,4064,50,0.59,LaptopFaiq
226,0.456,60.4,4064,50,0.59,LaptopFaiq
226,0.456,60.4,4064,50,0.59,LaptopFaiq
226,0.456,60.4,4064,50,0.59,LaptopFaiq
226,0.456,60.4,4064,50,0.59,LaptopFaiq
226,0.456,60.4,4064,50,0.59,LaptopFaiq
226,0.456,60.4,4064,50,0.59,LaptopFaiq
226,0.456,60.4,4064,50,0.59,LaptopFaiq
226,0.456,60.4,4064,49.9,0.59,LaptopFaiq
226,0.456,60.4,4064,49.9,0.59,LaptopFaiq
226.2,0.346,42.9,4064,49.9,0.55,LaptopFaiq
226.2,0.346,42.9,4064,50,0.55,LaptopFaiq
226.2,0.346,42.9,4064,50,0.55,LaptopFaiq
226.2,0.346,42.9,4064,50,0.55,LaptopFaiq
226.2,0.346,42.9,4064,50,0.55,LaptopFaiq
226.2,0.346,42.9,4064,50,0.55,LaptopFaiq
226.2,0.346,42.9,4064,50,0.55,LaptopFaiq
226.2,0.346,42.9,4064,50,0.55,LaptopFaiq
226.2,0.346,42.9,4064,50,0.55,LaptopFaiq
226.2,0.346,42.9,4064,50,0.55,LaptopFaiq
226.1,0.41,52.5,4064,50,0.57,LaptopFaiq
226.1,0.41,52.5,4064,50,0.57,LaptopFaiq
226.1,0.41,52.5,4064,50,0.57,LaptopFaiq
226.1,0.41,52.5,4064,50,0.57,LaptopFaiq
226.1,0.41,52.5,4064,50,0.57,LaptopFaiq
226.1,0.41,52.5,4064,50,0.57,LaptopFaiq
226.1,0.41,52.5,4064,50,0.57,LaptopFaiq
226.1,0.41,52.5,4064,50,0.57,LaptopFaiq
226.1,0.41,52.5,4064,50,0.57,LaptopFaiq
226.1,0.41,52.5,4064,50,0.57,LaptopFaiq
226.2,0.378,48.1,4064,50,0.56,LaptopFaiq
226.2,0.378,48.1,4064,50,0.56,LaptopFaiq
226.2,0.378,48.1,4064,50,0.56,LaptopFaiq
226.2,0.378,48.1,4064,50,0.56,LaptopFaiq
226.2,0.378,48.1,4064,50,0.56,LaptopFaiq
226.2,0.378,48.1,4064,50,0.56,LaptopFaiq
226.2,0.378,48.1,4064,50,0.56,LaptopFaiq
226.2,0.378,48.1,4064,50,0.56,LaptopFaiq
226.2,0.378,48.1,4064,49.9,0.56,LaptopFaiq
226.2,0.378,48.1,4064,49.9,0.56,LaptopFaiq
226.3,0.352,43.9,4064,50,0.55,LaptopFaiq
226.3,0.352,43.9,4064,50,0.55,LaptopFaiq
226.3,0.352,43.9,4064,50,0.55,LaptopFaiq
226.3,0.352,43.9,4064,50,0.55,LaptopFaiq
226.3,0.352,43.9,4064,50,0.55,LaptopFaiq
226.3,0.352,43.9,4064,50,0.55,LaptopFaiq
226.3,0.352,43.9,4064,50,0.55,LaptopFaiq
226.3,0.352,43.9,4064,50,0.55,LaptopFaiq
226.3,0.352,43.9,4064,49.9,0.55,LaptopFaiq
226.3,0.352,43.9,4064,49.9,0.55,LaptopFaiq
226.3,0.352,43.9,4064,49.9,0.55,LaptopFaiq
226.4,0.391,49.8,4064,50,0.56,LaptopFaiq
226.4,0.391,49.8,4064,50,0.56,LaptopFaiq
226.4,0.391,49.8,4064,50,0.56,LaptopFaiq
226.4,0.391,49.8,4064,50,0.56,LaptopFaiq
226.4,0.391,49.8,4065,50,0.56,LaptopFaiq
226.4,0.391,49.8,4065,50,0.56,LaptopFaiq
226.4,0.391,49.8,4065,50,0.56,LaptopFaiq
226.4,0.391,49.8,4065,50,0.56,LaptopFaiq
226.4,0.391,49.8,4065,50,0.56,LaptopFaiq
226.4,0.391,49.8,4065,50,0.56,LaptopFaiq
226.5,0.391,50.1,4065,49.9,0.57,LaptopFaiq
226.5,0.391,50.1,4065,49.9,0.57,LaptopFaiq
226.5,0.391,50.1,4065,49.9,0.57,LaptopFaiq
226.5,0.391,50.1,4065,49.9,0.57,LaptopFaiq
226.5,0.391,50.1,4065,50,0.57,LaptopFaiq
226.5,0.391,50.1,4065,50,0.57,LaptopFaiq
226.5,0.391,50.1,4065,50,0.57,LaptopFaiq
226.5,0.391,50.1,4065,50,0.57,LaptopFaiq
226.5,0.391,50.1,4065,50,0.57,LaptopFaiq
226.5,0.391,50.1,4065,50,0.57,LaptopFaiq
226.5,0.365,46.3,4065,50,0.56,LaptopFaiq
226.5,0.365,46.3,4065,50,0.56,LaptopFaiq
226.5,0.365,46.3,4065,50,0.56,LaptopFaiq
226.5,0.365,46.3,4065,50,0.56,LaptopFaiq
226.5,0.365,46.3,4065,49.9,0.56,LaptopFaiq
226.5,0.365,46.3,4065,49.9,0.56,LaptopFaiq
226.5,0.365,46.3,4065,49.9,0.56,LaptopFaiq
226.5,0.365,46.3,4065,50,0.56,LaptopFaiq
226.5,0.365,46.3,4065,50,0.56,LaptopFaiq
226.5,0.365,46.3,4065,50,0.56,LaptopFaiq
226.5,0.369,47.2,4065,50,0.56,LaptopFaiq
226.5,0.369,47.2,4065,50,0.56,LaptopFaiq
226.5,0.369,47.2,4065,50,0.56,LaptopFaiq
226.5,0.369,47.2,4065,50,0.56,LaptopFaiq
226.5,0.369,47.2,4065,50,0.56,LaptopFaiq
226.5,0.369,47.2,4065,50,0.56,LaptopFaiq
226.5,0.369,47.2,4065,50,0.56,LaptopFaiq
226.5,0.369,47.2,4065,50,0.56,LaptopFaiq
226.5,0.369,47.2,4065,50,0.56,LaptopFaiq
226.5,0.369,47.2,4065,50,0.56,LaptopFaiq
226.5,0.369,47.2,4065,49.9,0.56,LaptopFaiq
226.5,0.369,47.2,4065,49.9,0.56,LaptopFaiq
226.4,0.327,40.1,4065,50,0.54,LaptopFaiq
226.4,0.327,40.1,4065,50,0.54,LaptopFaiq
226.4,0.327,40.1,4065,50,0.54,LaptopFaiq
226.4,0.327,40.1,4065,50,0.54,LaptopFaiq
226.4,0.327,40.1,4065,50,0.54,LaptopFaiq
226.4,0.327,40.1,4065,50,0.54,LaptopFaiq
226.4,0.327,40.1,4065,50,0.54,LaptopFaiq
226.4,0.327,40.1,4065,50,0.54,LaptopFaiq
226.4,0.327,40.1,4065,50,0.54,LaptopFaiq
226.4,0.327,40.1,4065,50,0.54,LaptopFaiq
226.4,0.412,53.3,4065,50,0.57,LaptopFaiq
226.4,0.412,53.3,4065,50,0.57,LaptopFaiq
226.4,0.412,53.3,4065,50,0.57,LaptopFaiq
226.4,0.412,53.3,4065,50,0.57,LaptopFaiq
226.4,0.412,53.3,4065,50,0.57,LaptopFaiq
226.4,0.412,53.3,4065,50,0.57,LaptopFaiq
226.4,0.412,53.3,4065,50,0.57,LaptopFaiq
226.4,0.412,53.3,4065,50,0.57,LaptopFaiq
226.4,0.412,53.3,4065,50,0.57,LaptopFaiq
226.4,0.412,53.3,4065,50,0.57,LaptopFaiq
226.4,0.292,35.5,4065,50,0.54,LaptopFaiq
226.4,0.292,35.5,4065,50,0.54,LaptopFaiq
226.4,0.292,35.5,4065,50,0.54,LaptopFaiq
226.4,0.292,35.5,4065,50,0.54,LaptopFaiq
226.4,0.292,35.5,4065,50,0.54,LaptopFaiq
226.4,0.292,35.5,4065,50,0.54,LaptopFaiq
226.4,0.292,35.5,4065,50,0.54,LaptopFaiq
226.4,0.292,35.5,4065,50,0.54,LaptopFaiq
226.4,0.292,35.5,4065,50,0.54,LaptopFaiq
226.4,0.292,35.5,4065,50,0.54,LaptopFaiq
226.4,0.32,39.2,4065,50,0.54,LaptopFaiq
226.4,0.32,39.2,4065,50,0.54,LaptopFaiq
226.4,0.32,39.2,4065,50,0.54,LaptopFaiq
226.4,0.32,39.2,4065,50,0.54,LaptopFaiq
226.4,0.32,39.2,4065,50,0.54,LaptopFaiq
226.4,0.32,39.2,4065,50,0.54,LaptopFaiq
226.4,0.32,39.2,4065,50,0.54,LaptopFaiq
226.4,0.32,39.2,4065,50,0.54,LaptopFaiq
226.4,0.32,39.2,4065,50,0.54,LaptopFaiq
226.4,0.32,39.2,4065,50,0.54,LaptopFaiq
226.4,0.32,34.1,4065,50,0.47,LaptopFaiq
226.5,0.284,34.1,4065,50,0.53,LaptopFaiq
226.5,0.284,34.1,4065,50,0.53,LaptopFaiq
226.5,0.284,34.1,4065,50,0.53,LaptopFaiq
226.5,0.284,34.1,4065,50,0.53,LaptopFaiq
226.5,0.284,34.1,4065,50,0.53,LaptopFaiq
226.5,0.284,34.1,4065,50,0.53,LaptopFaiq
226.5,0.284,34.1,4065,50,0.53,LaptopFaiq
226.5,0.284,34.1,4065,50,0.53,LaptopFaiq
226.5,0.284,34.1,4065,50,0.53,LaptopFaiq
226.5,0.284,34.1,4065,50,0.53,LaptopFaiq
226.4,0.307,37.3,4065,50,0.54,LaptopFaiq
226.4,0.307,37.3,4065,50,0.54,LaptopFaiq
226.4,0.307,37.3,4065,50,0.54,LaptopFaiq
226.4,0.307,37.3,4065,50,0.54,LaptopFaiq
226.4,0.307,37.3,4065,50,0.54,LaptopFaiq
226.4,0.307,37.3,4065,50,0.54,LaptopFaiq
226.4,0.307,37.3,4065,50,0.54,LaptopFaiq
226.4,0.307,37.3,4065,50,0.54,LaptopFaiq
226.4,0.307,37.3,4065,50,0.54,LaptopFaiq
226.4,0.307,37.3,4065,50,0.54,LaptopFaiq
226.4,0.332,40.9,4065,49.9,0.54,LaptopFaiq
226.4,0.332,40.9,4065,49.9,0.54,LaptopFaiq
226.4,0.332,40.9,4065,49.9,0.54,LaptopFaiq
226.4,0.332,40.9,4065,50,0.54,LaptopFaiq
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.6,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
224.3,0,0,11844,50,0,Unplugged
